职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
Python,"公司环境好,牛人聚集地,扁平化管理,晋升空间大",13k-26k,上海,经验1-3年,本科及以上,全职,岗位职责：1. 现有交易系统的优化与维护；2. 现有自动化策略的优化与维护；3. 协助金工开发新自动化策略。要求：1. 熟悉Python， 熟悉Linux Shell，熟悉操作系统，有分布式系统开发经验为佳。2. 对金融交易有一定了解，从事过交易系统开发者为佳。3. 熟悉数据结构与算法。4. 乐于学习。
python开发工程师,"年终奖金,五险一金,团建活动,下午茶",10k-15k,苏州,经验1-3年,大专及以上,全职,职位描述:1、负责公司产品多平台后端开发工作，主要编程语言是 Python ；2、参与产品设计，与前端和移动端工程师一同探讨技术方案；3、参与架构设计，与平台工程师合作优化新旧服务的性能和稳定性。职位要求:1、扎实的计算机基础知识，了解常用数据结构和算法；2、熟练掌握Python；熟悉常用 Web 框架如django；熟悉常用的api框架如REST framework;3、熟悉 MySQL、Redis等后端组件的使用，了解基本的设计、优化原则；4、熟悉 Linux 的使用和管理，了解操作系统相关知识；5、熟悉 Git、Jenkins、等持续集成和部署工具；6、热衷性能分析与调优，积极使用新技术提升工作效率；7、良好的团队合作精神与责任感，较好的沟通能力。  优先条件:1、对开源软件、敏捷开发方法有特别兴趣，开源社区贡献者；2、具备前端开发能力，了解 HTML / CSS / JavaScript；3、乐于分享，各类流行互联网服务的热心参与和内容贡献者。
Python开发技术经理,"包三餐,大牛带队,氛围好",15k-30k,北京,经验3-5年,本科及以上,全职,岗位职责1.负责旅行行业大量票务系统集成，分析票务预订服务流程、功能、可执行性，协调产品负责服务落地2.参与设计和改进系统架构并推动实施3.保障小组工程进度和质量岗位要求1.精通Python，熟练掌握Python web开发技术栈2.2年及以上相关工作经验，有团队管理经验优先3.熟悉各种webservice，具备快速集成能力4.具备良好的沟通技能、英文阅读沟通能力
Python实习工程师,"发展空间大,牛人多,弹性工作制,福利好",2k-4k,深圳,经验不限,本科及以上,实习,工作内容：参与基础设施平台的开发工作。任职要求：1、大学本科以上学历，计算机或相关理工科专业背景优先；2、熟练掌握至少一门编程语言，有Python编程经验者优先；3、数据结构与经典算法等计算机基础扎实，逻辑思维较强；4、热爱编程，喜欢折腾各类工具，热衷于探寻技术背后的原理；5、责任心较强，做事细致耐心，具有良好的团队合作意识。
高级Python开发工程师,"前沿技术,弹性工作,丰富下午茶",25k-40k,北京,经验5-10年,本科及以上,全职,岗位职责：1、负责用户、支付、消息、聊天、Gateway等系统的开发与维护2、负责高并发在线服务的研发，架构优化以及系统部署等工作；包括用户，运营，风控，审核等业务线；3、根据公司产品需要不断提高产品用户体验和更好实现业务目标；4、分析解决交易系统扩展、稳定等复杂技术问题；5、负责一个项目的整体技术把控，协调各需求负责人完成项目整体交付；任职要求：1、统招本科及以上学历，计算机及相关专业;2、精通Python语言，深入理解内存管理相关原理与主流框架源码，具备性能调优经验；3、高并发设计经验，性能故障优化等经验；4、熟悉 缓存（Redis）、消息中间件(RabbitMQ、Kafka等)、搜索引擎(ES)等技术;5、熟悉SQL语句的编写，优化，调优及排错，熟练使用Mysql数据库；6、有一定的技术钻研能力。
服务端高级开发工程师Gola...,"优厚待遇,技术导向",35k-45k,北京,经验3-5年,本科及以上,全职,工作职责：1. 负责服务器端软件的研发工作，包括服务器端需求沟通，架构设计，核心技术研发，线上服务维护等；2. 学习和研究新技术以满足产品的需求；3. 负责软件开发过程中的问题分析和总结，提供建议帮助改善研发流程；4.  和产品/测试/运营进行密切沟通，能够根据需求提出合理技术方案。岗位职责：1．全日制本科以上学历计算机相关专业，2年以上工作经验2．熟练使用python/Golang，有良好的代码规范3．熟练使用MySQL、MongoDB、Redis4．对软件工程和编程技术有较深理解，具备服务器端开发经验，熟悉网络协议和网络开发，具备全栈开发经验者优先5．有hadoop，hbase，spark，mapreduce等大数据工具使用经验优先6．强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长7．具有强烈的团队协作意识，高度的责任感，对工作积极严谨，逻辑思维能力强，有较强学习和创新能力。
Python开发工程师,"上市公司,项目奖金,全额社保,各种补助",15k-25k,北京,经验3-5年,本科及以上,全职,岗位职责： 1、负责AI算法调度中间件的设计、开发和维护； 2、负责与算法模块与工程项目的集成；  要求： 1.具有一定的python项目开发经验；  2.熟悉数据库及网络开发技术； 3.掌握Linux下C语言开发者优先； 4.具有AI、计算机视觉相关项目经验者优先； 5.有优秀的解决问题的能力，有很强的学习能力
Java/Python资深开发工程师,"团队牛人多,技术驱动,硅谷文化,期权激励",35k-70k,上海,经验5-10年,本科及以上,全职,职位描述:1. 根据需求完成服务器端功能开发2. 有能力进行问题分析，技术规划，架构设计，拆分及细化业务，根据场景选择合适的实现方式任职要求:1. 3年以上相关开发经验2. 熟悉MySQL、Redis或常见的NoSQL技术的使用和优化技巧3. 熟悉 Linux / Unix 操作系统4. 扎实的计算机专业基本功，具备较强的编程能力素质和质量意识5. 熟悉面向对象编程6. 善于分析、归纳、解决问题加分项:1. 精通一门或多门开发语言(Java，Python等)2. Github有开源项目，或给大型项目贡献过代码3. 有大型网站的后端架构实践经验4. 有大型网站的性能优化实践经验5. 设计过公开的API接口
初级 Python 工程师,"每半年调薪,最高16薪,年度分红,季度奖金",8k-15k,上海,经验1-3年,本科及以上,全职,大家看到这么一篇岗位介绍时，想到的求职往往是信息的展示流动，在收到几个offer之后的对比选择，一切都是那么成熟自然。但是和高技能人才不同，在中国，还有人数更为众多的基层岗位从业人员，他们大多是本科以下学历，只身在外寻找工作，然而互联网提供给他们的除了便利，还充斥着黑暗。大量的企业，以招聘的名义，轻松高薪做诱饵，欺骗无数人走向黑暗，因此改变一生。这里轻则是以体检费、考试费、培训费、岗位押金为由的金钱诈骗，中则是层层诱骗候选人从事潜规则、女公关等不法行为，重则是以出国劳务、传销等形式的人身自由控制。这些就发生在我们身边，时刻都在发生着，市场缺少一款真正让这些用户放心使用的产品。职通车希望能够通过自己的努力，做一些小小的改变。在职通车，所有职位都经由人工审核，都是正经工作，参加面试的结果80%可以当日反馈给候选人，简单可依赖。你可以在微信中搜索“职通车招聘”体验我们的小程序。目前我们已经提供的：1.5000元/人的年度学习基金2.300元/月的党员津贴3.300元/月的住房补贴4.自购手机/电脑公司报销5.每月一次的员工日6.每年一次的海外游（2017年泰国、2018年日本）7.34寸超宽显示器、机械键盘8.年度14薪起9.每半年一次的涨薪评估我们即将有的：1.人体工学椅2.免费午餐、晚餐3.免费住宿4.更多的在路上后端 api 开发1. 一本学历，计算机相关专业2.基础扎实，有良好编程能力，一年以上python开发经验，熟悉sql3. 熟悉 restful，以及前后端如何配合。4. 了解 python web 的开源框架，对flask、sqlalchemy、gunicorn、celery等开源组件熟悉，如果能了解微信生态的开发那就更好。4. 有责任心，有学习的动力。
高级Python工程师,"五险一金,14.4薪,团队氛围好,节假日福利",25k-35k,北京,经验5-10年,本科及以上,全职,"岗位职责：1.能够深刻理解基本业务、开发标准、开发流程等从业必需知识并不断优化2.能够独立主导研发组系统级别的需求开发3.能够快速定位系统的核心问题，解决技术上的疑难杂症4.能够熟悉产品线的业务，在此基础上对业务需求提出改进和优化，对系统业务正常开展提供保障5.能够熟悉系统架构，对难点技术进行攻关，对现有的技术进行升级改造，对系统进行强有力的技术支撑6.能够指导团队成员，通过技术分享等手段提升整个团队的研发产出任职要求：1. 熟悉主流技术架构原理，了解技术架构常用设计模式、微服务技术2. 熟悉与系统架构相关的其他知识：如各种操作系统、数据库、开发语言、软件工程、设计模式、系统测试、硬件、网络等3. 熟练掌握常用的Python开发框架和服务器，如Flask ,Tornado, AioHTTP, Django, Nginx, uWSGI4.  熟悉SOA AOP设计思想，熟悉分布式系统基础设施中常用的技术、缓存（如Redis ）、消息中间件(如Rabbit MQ、rocketMQ、Kafka )5. 熟悉高并发、高可靠性系统的设计、多线程、多进程、协程、监控和运维，如负载均衡系统、集群和应用监控、系统容量评估、流量控制、性能优化、故障排查、日志收集和分析等6. 熟悉各种Web前端技术，包括HTML5、XML、Ajax、CSS、Java script、JQuery等7. 熟悉Maven、Jenkins、Git等项目配置、代码管理和集成工具8. 熟悉规范化的软件开发过程，熟悉单元测试相关技术9. 熟悉SAAS业务逻辑和关键点，熟悉项目全流程关键点10. 具备指导新人、技术培训的能力，具备目标规划、策略设计，并有效推进团队成员按时保质完成工作目标的管理能力"
python开发实习生,"可转正,定期培训,工作餐,三板上市",4k-8k,北京,经验1年以下,本科及以上,全职,位诱惑：定期培训/定期团建/提供工作餐/牛人mentor/可转正/三板上市职位描述：岗位职责1.参与公司数据平台建设，负责后端代码编写；2.与产品、技术对接，并调试后端接口；3.表现优秀会有机会参加平台建设方面的工作。任职资格1.至少掌握一门编程语言，有编程经验。会python、django者优先；2.熟练使用sql语言，了解索引；3.有较强的责任心和上进心；
高级Python开发工程师,"优秀团队,工场项目,六险一金,金融科技",25k-40k,北京,经验3-5年,本科及以上,全职,"1)负责CRM，获客平台，APP后端，BI，资金平台等某一方向系统架构设计和开发工作，为快速发展的业务输出统一，便捷的技术能力，并实现平台的可持续性支撑与扩展；2) 与基础架构工程师、运维工程师一起实现稳定、可扩展的后台服务；3) 数据驱动，不断通过产品和技术数据进行改进，并完成快速迭代；4) 主要开发语言为Python，其他语言转Python也非常欢迎。1) 本科及以上学历，计算机相关专业，3年以上互联网行业经历。2) 对计算机相关基础知识有较好理解，了解常用数据结构和算法；有扎实的编程功底，熟练掌握至少一门编程语言，如 Python、Ruby、Java、Golang等；3) 掌握关系数据库及 SQL 相关知识，了解基本的设计和优化原则；4) 熟悉一种 NoSQL 数据库，如Redis, MongoDB等；5) 熟悉常用Web开发相关技术，包括Web框架、协议、安全等；6) 有很强的学习能力，有主动性和上进心，不拘泥于框架，追求最佳实践；1) 有良好的产品意识，愿意在产品实现及用户体验上提出自己的观点2) 对开源技术有强烈的兴趣和爱好，提交过 bug 或 patch3) 热爱金融，有FinTech行业相关工作经历"
python开发工程师,"加班少,福利好",20k-40k,北京,经验1-3年,本科及以上,全职,"岗位职责：1. 参与项目需求分析，业务逻辑流程与设计，文档编写；2. 负责系统开发，维护现有的项目和系统；任职要求：1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言）2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架）3. 熟悉常见的数据库，熟练掌握Mysql，Mongodb，Redis者优先（数据库）4. 掌握Linux操作系统，熟悉ngin x，WSGI,理解TCP,HTTP等网络协议；5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享"
python开发工程师,"五险一金,带薪年假,定期体检,不加班",6k-9k,石家庄,经验1-3年,大专及以上,全职,职位描述：- 负责网站后端开发工作，主要编程语言是Python- 参与产品设计，与前端工程师一同探讨技术方案- 持续改进现有代码以应对日益增长的多样化需求职位要求：- 具备良好的计算机基础知识，了解常用的数据结构和算法- 具备良好的 Django 实际开发经验，熟悉常用的 Python Web 框架- 熟悉关系／非关系型数据库的使用，了解基本的设计、优化原则- 熟悉 Linux 的使用和管理，了解操作系统相关知识- 具备一定的持续测试、集成、部署实践经验- 热衷于性能分析与调优，勇于面对技术挑战- 良好的编码风格和测试习惯- 有良好的团队合作精神，有责任感，有较好的沟通能力加分项：- 有复杂项目的架构设计经验或规范制定经验- 对开源软件、敏捷开发方法有特别兴趣，开源社区贡献者- 具备前端开发能力，了解 HTML / CSS / JavaScript / MVC、MVVM框架- 乐于分享，各类流行互联网服务的热心参与和内容贡献者
python 开发,"行业领先,轻松,福利好,下午茶，妹子多",7K-10K,杭州,经验1-3年,大专及以上,全职,"职位诱惑：行业领先,轻松氛围,福利丰厚,水果下午茶、妹子多岗位职责：1、 参与/负责架构设计与开发，设计爬虫策略和防屏蔽规则2、负责网页信息抽取、数据清洗等研发和优化工作3、爬虫逻辑的开发，快速响应业务变动 岗位要求：1、计算机相关专业本科以上学历，精通Python语言，1年以上实际的爬虫项目经验2、熟练掌握并发编程模型与网络通信编程，熟悉 TCP／IP、HTTP 协议3、熟练掌握 HTML/CSS/JavaScript 等 Web 技术4、熟练掌握关系型与非关系型数据库的使用：MySQL、MongoDB 、Redis等6、熟悉各种反爬技术，并能够通过多种应对策略（包括但不限于：代理池、模拟登录、验证码处理、浏览器渲染等）来保证数据的持续交付7、熟练使用网络流量抓包工具，并有移动端 App 的数据爬取的工程经验8、熟练使用scrapy框架、 有分布式爬虫系统和数据采集的设计、开发经验 加分项：1、有2年以上的Python web实际开发经验、精通Django或Flask 框架优先2、有爬取国内外知名新闻、社交娱乐网站 如（头条新闻、微信，淘票票、猫眼）实际项目开发经验3、熟练掌握分布式系统的技术架构与设施的使用：Kafka、zookeeper、Hadoop 等4、有数据挖掘工程经验者优先   "
运维开发工程师（精通Python）,学习氛围 注重技术 团队高效 福利健全,12k-20k,北京,经验1-3年,本科及以上,全职,工作职责：1、负责开发公司的各个产品的核心通用运维组件，包括健康监控、运维数据采集、性能报警、产品上线系统和其余自动化运维组件；2、与产品研发人员充分沟通，开发运维平台，保证产品的运维质量，保证产品正常运行。任职资格：1、精通Python开发，有其他语言开发经验亦可，熟悉各种powershell或bat或bash及其余SHELL脚本的编写；2、拥有优秀的技术钻研能力和自学能力，能根据现有的知识和学习方法，不断学习自己所未知的、在实际系统运维过程中所需要的新知识；3、有优秀的系统设计和架构的意识，熟悉常用的运维系统的设计原则，熟悉软件设计模式和软件工程；4、熟悉服务器和机房运维的运维技术，熟悉各种性能计数器、健康监控、网络协议、Active Directory、WMI、SNMP、Linux下的系统调用等各种API的其中一种；5、有责任心，拥有2年或以上的开发经验。
Python开发工程师,"热点行业，五险一金，待遇从优,BAT工作机会",12k-20k,深圳,经验1-3年,本科及以上,全职,工作职责：负责织云产品运维自动化平台设计与开发，提供高效创新的一站式运维服务；负责织云监控系统开发、海量数据处理集群建设，提供准确的监控、统计分析服务；负责运营系统公共能力建设，提供API网关、用户权限管理等服务。 工作要求：计算机相关专业本科及以上学历，3年以上开发工作经验；熟悉Unix/Linux操作系统；熟悉Unix/Linux操作系统下的Python开发；熟悉TCP/IP网络编程，MySQL数据库开发等内容； 了解Web前端开发技术，HTML5/CSS3/JavaScript等；具备良好的分析解决问题能力，有良好的团队合作能力，善于沟通，热爱开发事业；有大型网管系统或者互联网运营平台开发和架构经验者优先。
中级Python开发工程师(000...,"弹性工作,技术驱动,千万级用户,福利待遇",20k-30k,北京,经验3-5年,学历不限,全职,"岗位职责:岗位职责：1、参与公司内容库系统开发，完成内容源入库、清洗、管理等工作，保障APP产品丰富、优质的内容源；2、完成内容库系统需求的分析与梳理，完成方案的详细设计与实现；3、持续优化产品，优化内容库系统架构；任职资格:岗位要求1、计算机及相关专业本科及以上学历, 具备三年以及以上Python项目经验；2、熟悉Linux操作系统，熟悉Shell；3、熟悉RDMS和No-SQL数据库设计，熟悉Redis或MemCached缓存技术，熟悉ElasticSearch或Sonar，熟悉至少一种消息队列(MQ)，如Kafka/Rabbitmq等。4、熟悉scrapy、有爬虫及反爬虫相关经验者优先；5、良好的编码能力，逻辑思维缜密，善于分析、解决问题，良好的沟通交流能力；6、具备高度的责任心与团队合作精神，喜欢创业团队的氛围；"
python开发工程师,"牛人多,氛围好,成长快,技术弄潮儿",20k-30k,北京,经验3-5年,本科及以上,全职,"职位描述：1、负责教育大数据平台的设计与开发，包括数据采集与清洗、数据仓库建设、建模与跟踪等等，驱动教育产品的数据化；2、深度挖掘教育数据，为教育工作的发展提供数据支撑。岗位要求：1、本科以上学历, 逻辑分析能力和学习能力良好；2、具备3年以上python后端研发经验，精通python, 高级需熟悉numpy、Scikit-Learn、tensorflow；3、熟悉mysql/hive/maxcomputer中的一种或多种；4、具备数据仓库项目经验者优先。"
研发实习生-java、python,"提供晚餐,下午茶",3k-5k,上海,经验不限,学历不限,全职,职责描述：1、负责公司业务所需的互联网数据采集、爬取。2、负责爬取数据的入库、清洗、加工、描述等数据处理工作。3、参与爬虫系统框架设计、优化，参与爬虫策略、防屏蔽规则的优化。4、与机器学习、大数据、数据挖掘、数据分析等部门协同，完成数据查询和分析。任职要求：1、计算机、电子、通信、物理、数学等相关理工科专业，统招全日制本科及以上学历。2、熟悉Python开发，了解正则表达式、cookie、非结构化数据解析等爬虫相关技术。3、熟悉Linux操作、了解网络编程，Http协议，Web开发。4、了解Scrapy、PySpider等爬虫框架尤佳。5、对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力。6、每周可稳定出勤3天以上。
python开发 中级（环境好）,"福利好,美女如云",13k-16k,上海,经验3-5年,本科及以上,全职,"职位描述：岗位职责:1、主导业务平台节点和控制中心的设计、开发与优化工作；2、完成产品的集群化部署方案；3、参与Python开发团队，同时与各部门团队成员协同工作，共同完成迭代开发任务，确保产品的顺利上线。任职要求：1、本科及以上学历，计算机、软件工程、信息管理、计算机应用等理、工专业；2、3年以上Python开发经验,  2年以上python服务端开发经验；3、熟练掌握Django或者其他Python Web开发框架，熟悉html、js、css、jquery等web开发者优先；4、具备数据库设计能力，熟练掌握MySql者优先；5、有大型网络服务开发，在高并发，高稳定性方面有经验者优先；6、熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等Web Server的部署和应用；7、具备良好的编码习惯及开发文档书写习惯；8、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。薪资福利1.合理优厚的薪金2.完善的假期组合：带薪年假、及法定假期；3.优厚的福利体系：年度体检、高温补贴、养老保险、医疗保险、生育保险、工伤保险、失业保险及住房公积金；4.丰富多彩的员工活动：员工聚餐、节日晚会、旅游活动、优秀员工表彰活动等；"
高级Python开发工程师,行业发展前景好 公司行业领先 晋升机会多,15k-30k,上海,经验3-5年,大专及以上,全职,工作职责： 1.参与搜索/推荐系统的研发 2.数据挖掘支持，文本处理、文本挖掘、相关性应用 3.参与内部系统开发资质要求： 1.专科以上学历，计算机等相关工科学位，3-6年相关工作经验2.熟练掌握C/C++、Java、Python等任何后端语言至少之一，对深入使用Python感兴趣 3.具备良好的数据结构、算法基础，开发功底扎实 4.具备Linux环境、数据库、HTTP等后端开发基础，有RESTful服务构架和应用经验优先 5.理解数据挖掘/搜索系统/推荐系统的基础原理优先 6.自我驱动，追求进步和探索，积极主动，工作责任心强
Python开发工程师,"项目奖金,带薪假期多,无限下午茶,扁平管理",15k-25k,北京,经验5-10年,本科及以上,全职,岗位职责1、负责公司后台相关应用工具的开发和维护；2、配合公司产品的相关数据分析和挖掘；任职要求1、熟练掌握Python，4年以上Python Web项目开发经验；2、熟悉 Django 等框架者优先；3、了解游戏数据分析优先；了解uwsgi协议优先；4、具备数据库应用能力（MySQL、Redis 等）。
python开发工程师,"发展空间大,五险一金,餐补,带薪年假",15k-25k,北京,经验3-5年,本科及以上,全职,"1.熟悉python语言，有2年使用经验，熟悉常用的web框架如flask，django2.熟悉redis, elasticsearch等nosql系统和关系型数据库如mysql3.熟悉常用的python库，熟悉gvent优先，熟悉celery优先4．熟悉常用的消息队列如kafka 或rabbitmq优先5．对安全产品了解的优先6．对高并发及大数据分析及分析工具了解的优先，对大数据挖掘及挖掘算法了解的优先。7．对机器学习，深度学习算法了解的优先。8．对teamcity, jenkins，ansimble等运维部署工具熟悉的优先。"
python开发工程师,"五险一金,带薪休假,双休,晋升空间大",6k-12k,合肥,经验3-5年,本科及以上,全职,"岗位职责：   1.已开发爬虫Xpath规则维护；    2.按照需求文档进行数据抓取；    3.按照分析师制定规则对已入库数据进行清洗；    4.利用NLP技术在相关场景进行应用。 任职资格：       1.熟练掌握Scrapy爬虫框架,1年以上Python爬虫实际开发经验；    2.掌握oracle、sql及mysql至少一种数据库；    3.掌握NLP技术优先；    4.有数据行业从业经验优先；    5.工作认真、严谨细致，具有责任心，具备团队合作精神。       "
python开发工程师,"领导nic,环境高大上",20k-25k,北京,经验5-10年,本科及以上,全职,岗位职责：1、公司产品的后端开发；   2、按照项目计划如期完成开发工作；    3、按时提交代码给相关研发负责人审核；    4、根据测试人员反馈的bug，及时修复；任职要求：1、3年及以上的Python项目开发经验，五年以上开发经验，多种语言的经历以及有大型项目者优先。2、掌握后端开发，基于开源web基础框架（如 Flask，Tornado，Django等）开发web后端，我们主要是封装了Tornado，但不限于单一框架；3、有大数据经验者优先；4、熟练掌握数据库使用部署，了解原理者优先；5、掌握Linux系统及基本的Linux命令，熟悉linux shell脚本编写； 6、拥有完整的项目开发经历，深刻理解产品研发流程，能够推动整个研发流程优化；7、较强的责任心及团队合作精神，有独立解决问题的能力；8、对技术有激情，喜欢钻研，能快速接受和掌握新技术；其他福利1、五险一金，充满活力的工作和学习环境；2、岗位相对自由，锻炼机会多；3、行业前景广阔，将成为行业独角兽。
python,"五险一金,过节福利,生日礼金,旅游、体检",8k-15k,上海,经验3-5年,本科及以上,全职,主要负责信用卡方面的监控，以及一部分消金，大数据方面的监控 必要条件：掌握Python开发，html，javascript，jquery，bootstrap，linux，shell script，SQL拥有可加分条件：熟悉CAT监控，viewjs，流计算（kafka，spark，storm），tenseflow
python开发实习生（西安）,餐饮补贴 专业培训 弹性工作,2k-3k,西安,经验不限,本科及以上,兼职,任职资格：任职要求：1、信息安全、计算机科学与技术、软件工程等相关专业2、熟练对于Python的使用，Linux、Shell、java、c\c++；3、熟悉计算机网络，并具备利用网络协议分析软件（如Wireshark），对网络协议进行分析的能力者优先4、有Django、Flask等Web框架的开发经验者优先，了解tcp/ip协议、了解数据库；5、有数据库如MySQL的使用经验者优先6、会算法，用python做过开发者优先，可实习半年以优先上。工作职责：工作内容：1、丰富绿盟自有网络空间搜索引擎的协议识别能力2、丰富绿盟自有网络空间搜索引擎的指纹解析能力3、对绿盟自有网络空间搜索引擎的数据进行分析和可视化呈现4、参与自动化测试脚本开发，系统监控、业务分析功能开发。
python工程师,大牛云集，人工智能，扁平管理,15k-30k,北京,经验1-3年,本科及以上,全职,工作职责：1.     负责开发维护公司相关项目；2.     参与项目的架构设计，明确负责开发部分的设计需求；3.     按照设计要求和源代码编写规范编写程序代码，对其质量、性能负责；4.     编写相关技术文档，负责进行开发阶段的软件测试，包括：单元测试、集成测试；5.     产品上线后，保障运营平台的稳定，解决相关技术问题。职位要求：1.     计算机基础知识扎实，理解计算机的运作原理，IO以及内存的操作；了解计算机网络，理解http等网络协议；2.     熟悉主流的数据结构和算法（参加过ACM的优先），有系统开发经验者优先；3.     2年以上Python开发经验，熟练掌握linux平台下Python开发，熟悉常用的Linux命令；4.     熟练运用Python语言及常用模块，熟悉python中多线程、多进程及网络开发等模块；5.     熟悉python下Mysql、Mongodb数据库的操作；6.     熟悉HTTP、Ajax等相关网络协议和主流前后端通信规范。
Python开发工程师,"高速成长,扁平管理",15k-30k,北京,经验3-5年,本科及以上,全职,研发核心业务系统及云端管理平台，打造稳定、高效、可扩展的平台架构。【职位要求】1. 精通Python、Django、MySQL等后台技术，有独立系统架构设计经验。2. 熟悉Linux、HTTP协议、存储引擎原理，掌握性能优化方法。3. 追求高质量、风格良好的代码，熟悉研发工作流程。4. 准确理解业务，善于沟通合作。【公司介绍】厨芯—智能商厨领导者，站在互联网+供给侧改革的时代风口，面向未来科技大融合的机器人领域，通过将人工智能、物联网和大数据技术引入餐具清洁场景，成功服务全国七大城市数百家餐饮品牌，已获得源码资本、真格基金近亿元A轮融资，团队成员由机器人行业的资深专家和互联网行业的商业精英构成。欢迎登上厨芯列车，航向21世纪机器人领域，共同成就一番事业！
高级Python开发工程师,"后端开发,大数据,工程",20k-40k,北京,经验3-5年,本科及以上,全职,职位描述1. 负责搭建部门在线推理服务及相应运维框架2. 与模型/算法工程师合作推进深度学习在搜索中的实际落地应用任职要求1.至少2年以上Python在线系统开发经验， 对在线项目的设计、开发、运维有足够的认识2.熟悉LINUX系统开发，扎实的数据结构与算法知识3.有过K8S/Docker/ElasticSearch 深度使用经验或定制开发经验者优先4.有C++开发经验者优先5.有过tensorflow serving/mxnet/caffe 在线服务开发经验者优先 
中级python,"平台有前途,行业前十,福利待遇好,弹性工作制",15k-25k,北京,经验1-3年,本科及以上,全职,"岗位职责：1.能够深刻理解基本业务、开发标准、开发流程等从业必需知识；2.能够独立开发系统级别的需求；3.能够处理核心的线上问题；4.能够对开发流程和技术有把控，对团队产出有影响；5.能在指导团队其他成员更高效、高质量的完成系统的开发和优化。       任职要求：1. 精通Python语言编程，精通IO，多线程,  多进程,  协程，异步处理，熟悉缓存，消息，搜索等机制；2. 精通Flask、Tornado、Django等框架 ，精通Linux操作系统，精通RabbitMQ等消息中间件技术，精通MySQL数据库基本操作；3. 了解hadoop、spark、storm、zookeeper等开源分布式系统，对其中1个或多个分布式系统有应用经验；4. 熟练掌握可扩展、高性能、高并发、高稳定性系统设计、开发和调优；5. 熟练掌握HTML、CSS、JavaScript、jQuery、bootstrap等前端技术；6. 熟练掌握非关系型数据库(如redis、mongodb）的使用；7. 熟练掌握业务设计、概要设计、详细设计能力，熟练使用设计工具，如原型、UML等设计工具；8. 了解SAAS业务逻辑和关键点，了解项目全流程关键点；9. 具备指导新人、技术培训的能力，具备组织团队成员按时保质完成工作目标的管理能力。"
Python研发工程师,"硕士最好,不加班,18薪,有期权",35k-55k,北京,经验3-5年,本科及以上,全职,"岗位职责1、负责系统模型在线服务的架构设计、优化和研发工作；2、负责线上服务的性能分析,并进行调优,保降线上服务的高可用性；3、负责系统在线系统架构的未来技术方向规划和新人指导工作；任职要求1、2年以上 Python语言为主的在线服务架构设计、开发经验,有过高并发、高可用的大型项目经验者优先；2、精通 Python编程,熟悉常用的 Python服务框架如 Tornado,并深入了解其原理；3、具夆扎实的计算机理论基础,有较强的数据结构及算法基础,熟悉多进程/多线程开发模式；4、熟悉分布式、缓存、消息队列等机制和原理；5、有机器学习相关背景、大型分布式系统设计经验者优先；6、良好的团队合作与沟通能力；7、具有很强的技术研发和创新能力,能有效把握技术发展方向,有较强的执行能力、学习能力、沟通能力、适应能力，责任心强。"
Python开发工程师,"做五休二,带薪年假,免费体检,13薪",10k-20k,苏州,经验3-5年,本科及以上,全职,"Our Company Altran ranks as the undisputed global leader in Engineering and R&D services (ER&D), following its acquisition of Aricent. The company offers clients an unmatched value proposition to address their transformation and innovation needs. Altran works alongside its clients, from initial concept through industrialization, to invent the products and services of tomorrow. For over 30 years, the company has provided expertise in aerospace, automotive, defense, energy, finance, life sciences, railway and telecommunications. The Aricent acquisition extends this leadership to semiconductors, digital experience and design innovation. Combined, Altran and Aricent generated revenues of €2.9 billion in 2017, with some 45,000 employees in more than 30 countries. Altran is an undisputed global leader in Engineering and R&D services with extensive experience in the Telecom sector. In China, we are working with Multinational Corporations on tomorrow’s challenges such as Mobile network(5G), Fixed Network, Enterprise Network, IoT, Big Data. To strengthen our Telecom BU in China and help our clients deliver their key projects, we are looking for a Python development Engineer.Advanced Unix systems knowledge required along with AnsibleExperience in PythonExperience in Virtualization & Data CentreMandatory skill:: Ansible and Python"
Python高级开发工程师,"包三餐,发展空间",10k-20k,北京,经验1-3年,本科及以上,全职,岗位职责1.负责旅行行业大量票务系统集成，分析票务预订服务流程、功能、可执行性，协调产品负责服务落地2.参与设计和改进系统架构并推动实施3.保障小组工程进度和质量岗位要求1.精通Python，熟练掌握Python web开发技术栈2.2年及以上相关工作经验，有团队管理经验优先3.熟悉各种webservice，具备快速集成能力4.具备良好的沟通技能、英文阅读沟通能力
